=== RUN STARTED 2025-11-21 17:45:47 ===
[17:45:47.044] Processing update for AVNT_USDT Bybit/GateIo
[17:45:47.061] Processing update for ENA_USDT Binance/GateIo
[17:45:47.084] Processing update for BCH_USDT Binance/GateIo
[17:45:47.085] Processing update for BCH_USDT Bybit/GateIo
[17:45:47.126] Processing update for ASTER_USDT Binance/GateIo
[17:45:47.127] Processing update for ASTER_USDT Bybit/GateIo
[17:45:47.153] Processing update for AVNT_USDT Binance/Bybit
[17:45:47.282] Processing update for BCH_USDT Binance/Bybit
[17:45:47.298] Processing update for AVNT_USDT Bybit/GateIo
[17:45:47.457] Processing update for AVNT_USDT Binance/Bybit
[17:45:47.457] Processing update for BCH_USDT Bybit/GateIo
[17:45:47.458] Processing update for ASTER_USDT Binance/Bybit
[17:45:47.458] Processing update for ASTER_USDT Bybit/GateIo
[17:45:47.493] Processing update for ASTER_USDT Binance/GateIo
[17:45:47.494] Processing update for ENA_USDT Binance/GateIo
[17:45:47.495] Processing update for BCH_USDT Binance/GateIo
[17:45:47.496] Processing update for 0G_USDT Binance/GateIo
[17:45:47.496] Processing update for 0G_USDT Bybit/GateIo
[17:45:47.619] Processing update for AVNT_USDT Bybit/GateIo
[17:45:47.709] Processing update for AVNT_USDT Binance/Bybit
[17:45:47.725] Processing update for ASTER_USDT Binance/Bybit
[17:45:47.726] Processing update for ASTER_USDT Bybit/GateIo
[17:45:47.738] Processing update for 0G_USDT Binance/Bybit
[17:45:47.742] Processing update for BCH_USDT Binance/Bybit
[17:45:47.743] Processing update for BCH_USDT Bybit/GateIo
[17:45:47.825] Processing update for BCH_USDT Binance/GateIo
[17:45:47.826] Processing update for ENA_USDT Binance/GateIo
[17:45:47.915] Processing update for ASTER_USDT Binance/GateIo
[17:45:47.935] Processing update for 0G_USDT Binance/GateIo
[17:45:47.936] Processing update for 0G_USDT Bybit/GateIo
[17:45:47.980] Processing update for ASTER_USDT Bybit/GateIo
[17:45:48.045] Processing update for ASTER_USDT Binance/Bybit
[17:45:48.093] Processing update for BCH_USDT Binance/Bybit
[17:45:48.132] Processing update for BCH_USDT Bybit/GateIo
[17:45:48.189] Processing update for BCH_USDT Binance/GateIo
[17:45:48.317] Processing update for ENA_USDT Binance/GateIo
[17:45:48.320] Processing update for AVNT_USDT Binance/Bybit
[17:45:48.321] Processing update for AVNT_USDT Bybit/GateIo
[17:45:48.322] Processing update for ASTER_USDT Binance/Bybit
[17:45:48.322] Processing update for ASTER_USDT Bybit/GateIo
[17:45:48.323] Processing update for ASTER_USDT Binance/GateIo
[17:45:48.352] Processing update for BCH_USDT Binance/Bybit
[17:45:48.352] Processing update for BCH_USDT Bybit/GateIo
[17:45:48.432] Processing update for 0G_USDT Binance/Bybit
[17:45:48.433] Processing update for 0G_USDT Bybit/GateIo
[17:45:48.434] Processing update for 0G_USDT Binance/GateIo
[17:45:49.744] Processing update for BCH_USDT Binance/Bybit
[17:45:49.744] Processing update for BCH_USDT Bybit/GateIo
[17:45:49.745] Processing update for AVNT_USDT Binance/Bybit
[17:45:49.745] Processing update for AVNT_USDT Bybit/GateIo
[17:45:49.746] Processing update for BCH_USDT Binance/GateIo
[17:45:49.746] Processing update for 0G_USDT Binance/Bybit
[17:45:49.747] Processing update for 0G_USDT Bybit/GateIo
[17:45:49.747] Processing update for ASTER_USDT Binance/Bybit
[17:45:49.747] Processing update for ASTER_USDT Bybit/GateIo
[17:45:49.748] Processing update for ENA_USDT Binance/GateIo
[17:45:49.748] Processing update for 0G_USDT Binance/GateIo
[17:45:49.749] Processing update for ASTER_USDT Binance/GateIo
[17:45:50.079] Processing update for CFX_USDT Binance/GateIo
[17:45:50.082] Processing update for BCH_USDT Binance/Bybit
[17:45:50.083] Processing update for BCH_USDT Bybit/GateIo
[17:45:50.083] Processing update for ENA_USDT Binance/GateIo
[17:45:50.084] Processing update for BCH_USDT Binance/GateIo
[17:45:50.143] Processing update for CFX_USDT Binance/GateIo
[17:45:50.183] Processing update for BCH_USDT Bybit/GateIo
[17:45:50.229] Processing update for BCH_USDT Binance/GateIo
[17:45:50.542] Processing update for ENA_USDT Binance/GateIo
[17:45:50.543] Processing update for ASTER_USDT Binance/GateIo
[17:45:50.543] Processing update for ASTER_USDT Bybit/GateIo
[17:45:50.544] Processing update for BCH_USDT Binance/GateIo
[17:45:50.544] Processing update for BCH_USDT Binance/Bybit
[17:45:50.545] Processing update for BCH_USDT Bybit/GateIo
[17:45:50.546] Processing update for CFX_USDT Binance/GateIo
[17:45:50.547] Processing update for AVNT_USDT Binance/Bybit
[17:45:50.881] Processing update for 0G_USDT Binance/GateIo
[17:45:50.882] Processing update for 0G_USDT Binance/Bybit
[17:45:50.882] Processing update for AVNT_USDT Binance/Bybit
[17:45:50.882] Processing update for ASTER_USDT Binance/GateIo
[17:45:50.883] Processing update for ASTER_USDT Binance/Bybit
[17:45:50.909] Processing update for ENA_USDT Binance/GateIo
[17:45:50.910] Processing update for BCH_USDT Binance/GateIo
[17:45:50.911] Processing update for BCH_USDT Bybit/GateIo
[17:45:50.911] Processing update for AVNT_USDT Bybit/GateIo
[17:45:50.912] Processing update for ASTER_USDT Bybit/GateIo
[17:45:50.913] Processing update for BCH_USDT Binance/Bybit
[17:45:51.002] Processing update for 0G_USDT Binance/GateIo
[17:45:51.002] Processing update for 0G_USDT Bybit/GateIo
[17:45:57.849] Processing update for AVNT_USDT Binance/Bybit
[17:45:57.859] Processing update for AVNT_USDT Bybit/GateIo
[17:45:57.860] Processing update for ASTER_USDT Binance/GateIo
[17:45:57.861] Processing update for ASTER_USDT Binance/Bybit
[17:45:57.862] Processing update for ASTER_USDT Bybit/GateIo
[17:45:57.864] Processing update for CFX_USDT Binance/GateIo
[17:45:57.864] Processing update for ENA_USDT Binance/GateIo
[17:45:57.865] Processing update for 0G_USDT Binance/GateIo
[17:45:57.866] Processing update for 0G_USDT Bybit/GateIo
[17:45:57.869] Processing update for BCH_USDT Binance/Bybit
[17:45:57.869] Processing update for BCH_USDT Bybit/GateIo
[17:45:57.870] Processing update for BCH_USDT Binance/GateIo
[17:45:57.873] Processing update for 0G_USDT Binance/Bybit
