=== RUN STARTED 2025-11-21 17:45:47 ===
[17:45:47.786] Window ETH_USDT Bybit→GateIo size: 100
[17:45:47.824] Window HYPE_USDT Bybit→GateIo size: 100
[17:45:48.349] Window XRP_USDT Bybit→GateIo size: 100
[17:45:48.471] Window TNSR_USDT Bybit→GateIo size: 100
[17:45:48.508] Window SOL_USDT Bybit→GateIo size: 100
[17:45:49.660] Window ETH_USDC Bybit→GateIo size: 100
[17:45:49.749] Window PENGU_USDT Bybit→GateIo size: 100
[17:45:49.749] Window ETH_USDT Bybit→GateIo size: 200
[17:45:50.075] Window PIEVERSE_USDT Bybit→GateIo size: 100
[17:45:50.075] Window XPL_USDT Binance→GateIo size: 100
[17:45:50.076] Window BTC_USDC Bybit→GateIo size: 100
[17:45:50.076] Window XPL_USDT Binance→Bybit size: 100
[17:45:50.077] Window SUI_USDT Bybit→GateIo size: 100
[17:45:50.077] Window XPL_USDT Bybit→GateIo size: 100
[17:45:50.077] Window AAVE_USDT Bybit→GateIo size: 100
[17:45:50.078] Window DOGE_USDT Binance→GateIo size: 100
[17:45:50.079] Window DOGE_USDT Binance→Bybit size: 100
[17:45:50.079] Window SHIB_USDT Binance→GateIo size: 100
[17:45:50.080] Window BNB_USDT Bybit→GateIo size: 100
[17:45:50.080] Window SUI_USDC Binance→Bybit size: 100
[17:45:50.081] Window SUI_USDC Binance→GateIo size: 100
[17:45:50.081] Window HYPE_USDT Bybit→GateIo size: 200
[17:45:50.082] Window SOL_USDC Binance→Bybit size: 100
[17:45:50.084] Window DOGE_USDT Binance→GateIo size: 200
[17:45:50.085] Window DOGE_USDT Binance→Bybit size: 200
[17:45:50.085] Window MMT_USDT Binance→Bybit size: 100
[17:45:50.086] Window MMT_USDT Binance→GateIo size: 100
[17:45:50.086] Window SUI_USDT Binance→Bybit size: 100
[17:45:50.087] Window SUI_USDT Binance→GateIo size: 100
[17:45:50.087] Window DOGE_USDT Bybit→GateIo size: 100
[17:45:50.184] Window SHIB_USDT Binance→GateIo size: 200
[17:45:50.227] Window SUI_USDC Binance→Bybit size: 200
[17:45:50.319] Window NEAR_USDT Binance→GateIo size: 100
[17:45:50.544] Window TAO_USDT Binance→GateIo size: 100
[17:45:50.545] Window TNSR_USDT Binance→GateIo size: 100
[17:45:50.546] Window NEAR_USDT Binance→Bybit size: 100
[17:45:50.546] Window BCH_USDT Bybit→GateIo size: 100
[17:45:50.547] Window BNB_USDT Binance→Bybit size: 100
[17:45:50.547] Window XLM_USDT Bybit→GateIo size: 100
[17:45:50.548] Window TNSR_USDT Binance→Bybit size: 100
[17:45:50.881] Window STRK_USDT Bybit→GateIo size: 100
[17:45:50.910] Window SUI_USDC Binance→GateIo size: 200
[17:45:50.912] Window GRASS_USDT Bybit→GateIo size: 100
[17:45:50.912] Window MMT_USDT Bybit→GateIo size: 100
[17:45:50.913] Window VIRTUAL_USDT Bybit→GateIo size: 100
[17:45:51.017] Window MMT_USDT Binance→GateIo size: 200
[17:45:57.860] Window HFT_USDT Bybit→GateIo size: 100
[17:45:57.860] Window BNB_USDT Binance→GateIo size: 100
[17:45:57.861] Window MMT_USDT Binance→Bybit size: 200
[17:45:57.863] Window ASTER_USDT Bybit→GateIo size: 100
[17:45:57.863] Window ADA_USDT Bybit→GateIo size: 100
[17:45:57.863] Window LINK_USDT Bybit→GateIo size: 100
[17:45:57.867] Window ONDO_USDT Bybit→GateIo size: 100
[17:45:57.867] Window PEPE_USDT Bybit→GateIo size: 100
[17:45:57.868] Window ETH_USDT Bybit→GateIo size: 300
[17:45:57.868] Window HYPE_USDT Bybit→GateIo size: 300
[17:45:57.870] Window CRV_USDT Binance→Bybit size: 100
[17:45:57.871] Window SUI_USDC Bybit→GateIo size: 100
[17:45:57.871] Window CRV_USDT Binance→GateIo size: 100
[17:45:57.872] Window DOGE_USDT Binance→GateIo size: 300
[17:45:57.872] Window SOL_USDT Bybit→GateIo size: 200
[17:45:57.873] Window CRV_USDT Bybit→GateIo size: 100
[17:45:57.873] Window BONK_USDT Bybit→GateIo size: 100
[17:45:57.874] Window LDO_USDT Bybit→GateIo size: 100
[17:45:57.874] Window DOGE_USDT Binance→Bybit size: 300
[17:45:57.874] Window XRP_USDT Bybit→GateIo size: 200
[17:45:57.875] Window ICP_USDT Binance→Bybit size: 100
[17:45:57.875] Window SUI_USDT Binance→Bybit size: 200
[17:45:57.876] Window GALA_USDT Binance→GateIo size: 100
[17:45:57.876] Window AVNT_USDT Binance→Bybit size: 100
[17:45:57.876] Window ICP_USDT Binance→GateIo size: 100
[17:45:57.877] Window XRP_USDT Binance→Bybit size: 100
[17:45:57.877] Window BONK_USDT Binance→Bybit size: 100
[17:45:57.878] Window TNSR_USDT Bybit→GateIo size: 200
[17:45:57.878] Window ASTER_USDT Binance→Bybit size: 100
[17:45:57.878] Window BCH_USDT Binance→GateIo size: 100
[17:45:57.879] Window ETH_USDC Bybit→GateIo size: 200
[17:45:57.879] Window AVNT_USDT Bybit→GateIo size: 100
[17:45:57.879] Window PIEVERSE_USDT Bybit→GateIo size: 200
[17:45:57.880] Window WLD_USDT Bybit→GateIo size: 100
[17:45:57.880] Window TNSR_USDT Binance→Bybit size: 200
[17:45:57.880] Window PEPE_USDT Binance→Bybit size: 100
[17:45:57.881] Window DYM_USDT Bybit→GateIo size: 100
[17:45:57.881] Window XRP_USDC Binance→Bybit size: 100
[17:45:57.882] Window HBAR_USDT Binance→Bybit size: 100
